epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,46.0596,4.8966,5.32691,4.34822,0.00375,0.01061,0.00192,0.00052,4.75376,inf,4.35266,0.070125,0.00331944,0.00331944
2,95.4669,4.18494,3.95819,3.27617,0.22912,0.01703,0.00371,0.00115,4.13715,inf,2.94997,0.0400811,0.00660887,0.00660887
3,153.594,3.65244,3.50999,2.63262,0.07118,0.03536,0.01118,0.00326,3.44968,4.2441,2.32135,0.00999318,0.00985429,0.00985429
4,198.109,3.25611,3.30846,2.25943,0.27852,0.05234,0.026,0.0098,3.13224,5.35605,1.97512,0.009802,0.009802,0.009802
5,237.619,3.07136,3.056,1.98502,0.50266,0.08396,0.04662,0.01574,2.9768,3.35189,1.84789,0.009736,0.009736,0.009736
6,282.547,2.89677,2.85337,1.8929,0.30581,0.08674,0.05557,0.01942,2.85577,3.80777,1.75636,0.00967,0.00967,0.00967
7,320.979,2.71093,2.75977,1.79426,0.40205,0.08724,0.03922,0.01405,2.95594,4.40555,1.90384,0.009604,0.009604,0.009604
8,359.245,2.68371,2.53736,1.68573,0.45816,0.1243,0.08934,0.03499,2.6763,3.49228,1.58924,0.009538,0.009538,0.009538
9,396.035,2.59095,2.67322,1.67152,0.24964,0.16896,0.12739,0.04878,2.55747,2.65717,1.57383,0.009472,0.009472,0.009472
10,433.087,2.47264,2.36446,1.65001,0.2525,0.19297,0.15134,0.06316,2.47751,2.72526,1.50536,0.009406,0.009406,0.009406
11,469.258,2.40799,2.24401,1.56693,0.28831,0.16488,0.14721,0.06093,2.60874,2.56507,1.50644,0.00934,0.00934,0.00934
12,505.5,2.39862,2.17633,1.5862,0.60461,0.17409,0.18184,0.0858,2.48381,2.73974,1.46302,0.009274,0.009274,0.009274
13,541.415,2.3191,2.09389,1.53079,0.30265,0.2076,0.17171,0.07688,2.39267,2.42307,1.43793,0.009208,0.009208,0.009208
14,578.153,2.33098,2.07615,1.50631,0.64148,0.18793,0.21215,0.09707,2.44829,2.73737,1.44801,0.009142,0.009142,0.009142
15,613.944,2.21929,1.99652,1.4701,0.37558,0.27882,0.24658,0.11951,2.28635,2.31997,1.39444,0.009076,0.009076,0.009076
16,650.172,2.25813,1.90268,1.44401,0.42639,0.25198,0.24468,0.11955,2.3009,2.24831,1.39274,0.00901,0.00901,0.00901
