epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,122.577,4.9954,5.4695,4.42867,0.00941,0.02099,0.00511,0.00118,4.79046,inf,4.20789,0.070125,0.00331944,0.00331944
2,165.237,4.24723,4.1183,3.56872,0.00293,0.009,0.00124,0.00033,4.20007,inf,3.26957,0.0400811,0.00660887,0.00660887
3,199.788,3.70776,3.53929,2.70665,0.00581,0.02404,0.00317,0.00081,3.75839,6.62619,2.44727,0.00999318,0.00985429,0.00985429
4,234.694,3.30306,3.37816,2.3051,0.44875,0.04885,0.01985,0.00542,3.34986,4.38551,2.17163,0.009802,0.009802,0.009802
5,267.661,3.07948,3.09402,2.00609,0.31603,0.0606,0.03174,0.01128,2.9282,3.29889,1.89691,0.009736,0.009736,0.009736
6,305.757,2.90986,2.89208,1.92244,0.08704,0.0987,0.04307,0.01751,2.87283,3.43122,1.73248,0.00967,0.00967,0.00967
7,340.372,2.74489,2.83118,1.82831,0.12113,0.10584,0.05726,0.02141,2.92989,3.67838,1.85934,0.009604,0.009604,0.009604
8,379.042,2.70607,2.61142,1.72092,0.5311,0.09496,0.06622,0.02456,3.0838,4.32649,1.79317,0.009538,0.009538,0.009538
9,412.285,2.61843,2.71862,1.71192,0.22444,0.1253,0.09723,0.03734,2.79218,2.84598,1.66707,0.009472,0.009472,0.009472
10,445.464,2.49986,2.4023,1.67594,0.38874,0.12736,0.1003,0.04196,2.66384,2.8422,1.57144,0.009406,0.009406,0.009406
11,480.558,2.42981,2.33495,1.5899,0.34444,0.16376,0.13172,0.05453,2.63385,2.65225,1.55007,0.00934,0.00934,0.00934
12,514.455,2.42851,2.2953,1.62326,0.48885,0.14505,0.14321,0.06642,2.49944,2.87784,1.49388,0.009274,0.009274,0.009274
13,548.331,2.35382,2.19108,1.5582,0.38332,0.18651,0.15768,0.07042,2.41348,2.53684,1.48206,0.009208,0.009208,0.009208
14,583.125,2.36335,2.17114,1.53349,0.42735,0.21333,0.19802,0.08757,2.41979,2.46678,1.45345,0.009142,0.009142,0.009142
15,616.539,2.28112,2.06011,1.50854,0.53188,0.19519,0.18047,0.08314,2.42958,2.67912,1.4749,0.009076,0.009076,0.009076
16,650.324,2.29893,1.99406,1.4812,0.59731,0.19421,0.21198,0.10033,2.40097,2.41015,1.41781,0.00901,0.00901,0.00901
17,684.429,2.27371,1.96647,1.49065,0.49963,0.26513,0.24979,0.11835,2.28774,2.33973,1.41627,0.008944,0.008944,0.008944
18,718.024,2.18099,1.88871,1.4463,0.44526,0.26026,0.2452,0.11559,2.35821,2.19193,1.40086,0.008878,0.008878,0.008878
19,752.201,2.19736,1.86351,1.44726,0.53156,0.25947,0.25377,0.11614,2.33913,2.37037,1.4101,0.008812,0.008812,0.008812
20,785.469,2.14594,1.84033,1.45109,0.47032,0.26243,0.2578,0.12155,2.28879,2.24426,1.37891,0.008746,0.008746,0.008746
21,820.512,2.14651,1.86115,1.42772,0.48174,0.31582,0.29521,0.1378,2.23773,2.37658,1.36233,0.00868,0.00868,0.00868
22,853.847,2.14823,1.85575,1.41731,0.48408,0.28061,0.28055,0.13172,2.32318,2.17231,1.37423,0.008614,0.008614,0.008614
23,887.067,2.12825,1.78286,1.40008,0.52491,0.30366,0.3063,0.14223,2.26897,2.07476,1.35858,0.008548,0.008548,0.008548
24,921.069,2.10985,1.83941,1.42355,0.54955,0.31122,0.31099,0.15331,2.20021,2.24127,1.34013,0.008482,0.008482,0.008482
25,955.136,2.10855,1.75039,1.40165,0.53174,0.28612,0.29866,0.1468,2.20851,2.01532,1.32255,0.008416,0.008416,0.008416
26,988.1,2.0758,1.76991,1.40976,0.50246,0.28215,0.29184,0.13659,2.24453,2.17884,1.34769,0.00835,0.00835,0.00835
27,1021.55,2.09549,1.76806,1.41187,0.5877,0.33351,0.35245,0.1732,2.21335,2.15258,1.33722,0.008284,0.008284,0.008284
28,1054.93,2.01975,1.63272,1.37571,0.5593,0.30127,0.3269,0.16306,2.17226,2.13918,1.32457,0.008218,0.008218,0.008218
29,1088.9,2.0291,1.67119,1.37213,0.57416,0.31775,0.33258,0.16504,2.13932,1.99479,1.30952,0.008152,0.008152,0.008152
30,1121.95,2.03963,1.66095,1.36008,0.55607,0.32912,0.34397,0.17296,2.11953,1.98828,1.30115,0.008086,0.008086,0.008086
31,1155.2,2.01777,1.63724,1.3464,0.55817,0.32994,0.33682,0.16888,2.08661,1.9214,1.28636,0.00802,0.00802,0.00802
32,1188.6,2.03894,1.64142,1.35521,0.54505,0.32007,0.33255,0.16007,2.20696,2.08436,1.33683,0.007954,0.007954,0.007954
33,1221.65,2.02089,1.67908,1.35866,0.60634,0.34713,0.37051,0.19017,2.09538,2.0161,1.29227,0.007888,0.007888,0.007888
34,1255.23,2.00159,1.61296,1.36448,0.59057,0.36244,0.38655,0.19279,2.10334,1.90494,1.28309,0.007822,0.007822,0.007822
35,1289.12,1.99441,1.59665,1.31973,0.57189,0.34345,0.36149,0.18362,2.09765,1.8549,1.28518,0.007756,0.007756,0.007756
36,1323.16,1.96826,1.5771,1.35592,0.62746,0.36783,0.39046,0.20207,2.07953,1.82608,1.2797,0.00769,0.00769,0.00769
37,1356.53,1.98096,1.53246,1.3341,0.60071,0.35067,0.38091,0.19268,2.08608,1.86379,1.27359,0.007624,0.007624,0.007624
38,1389.78,1.93741,1.54411,1.33336,0.61625,0.35752,0.38399,0.20175,2.10383,1.84369,1.2809,0.007558,0.007558,0.007558
39,1423.56,1.99799,1.59297,1.35891,0.62199,0.36629,0.38724,0.20146,2.08003,1.94466,1.28423,0.007492,0.007492,0.007492
40,1456.82,1.91682,1.49409,1.31274,0.65177,0.36682,0.39944,0.20327,2.07303,1.76801,1.27289,0.007426,0.007426,0.007426
41,1489.48,1.96281,1.51841,1.30603,0.59504,0.36407,0.38717,0.19832,2.07582,1.86476,1.26359,0.00736,0.00736,0.00736
42,1522.92,1.96172,1.51596,1.30991,0.63968,0.36843,0.40396,0.21296,2.03263,1.80031,1.26075,0.007294,0.007294,0.007294
