epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.405,4.74787,4.84798,4.02977,0.22183,0.02087,0.00488,0.00126,4.48457,5.50844,3.23055,0.070125,0.00331944,0.00331944
2,45.0505,3.94477,3.56931,2.83126,0.41432,0.03194,0.00953,0.00257,3.76381,13.6052,2.61548,0.0400811,0.00660887,0.00660887
3,72.5741,3.39223,3.29605,2.35961,0.05379,0.02975,0.01266,0.00359,3.70726,6.82286,2.38835,0.00999318,0.00985429,0.00985429
4,96.1109,3.11531,3.15427,2.10067,0.30225,0.0928,0.03545,0.01276,2.96037,4.7819,1.89657,0.009802,0.009802,0.009802
5,117.597,2.98013,2.96244,1.89757,0.14316,0.11914,0.05127,0.01826,2.84963,3.22115,1.77216,0.009736,0.009736,0.009736
6,142.084,2.82195,2.76399,1.83921,0.15398,0.1282,0.07315,0.0285,2.82594,3.9257,1.75858,0.00967,0.00967,0.00967
7,198.449,2.67236,2.76157,1.77165,0.17167,0.12163,0.07779,0.02837,2.89634,3.30448,1.78204,0.009604,0.009604,0.009604
8,220.177,2.66798,2.51777,1.67812,0.3486,0.1196,0.0879,0.03799,2.71662,3.17066,1.57773,0.009538,0.009538,0.009538
9,242.353,2.58693,2.6386,1.66057,0.26539,0.17923,0.11519,0.04833,2.55946,2.83571,1.55986,0.009472,0.009472,0.009472
10,262.958,2.49643,2.36148,1.65585,0.26305,0.16651,0.11586,0.04412,2.7432,2.69565,1.57926,0.009406,0.009406,0.009406
11,283.891,2.42741,2.27733,1.57022,0.43745,0.13885,0.13533,0.05549,2.79148,2.80154,1.60801,0.00934,0.00934,0.00934
12,304.32,2.42824,2.20679,1.59854,0.38985,0.19521,0.17211,0.07532,2.61847,2.65732,1.49489,0.009274,0.009274,0.009274
13,325.26,2.36942,2.14636,1.55271,0.38355,0.2363,0.19431,0.08423,2.43555,2.46415,1.44757,0.009208,0.009208,0.009208
14,345.663,2.37,2.10114,1.51993,0.54876,0.15511,0.17392,0.07767,2.54027,2.66237,1.49767,0.009142,0.009142,0.009142
15,365.796,2.26817,1.9878,1.49217,0.41053,0.25252,0.24138,0.11064,2.43242,2.39734,1.43963,0.009076,0.009076,0.009076
16,387.255,2.30987,1.9414,1.46987,0.42722,0.2213,0.22673,0.10732,2.46055,2.52823,1.43546,0.00901,0.00901,0.00901
17,407.348,2.28798,1.9149,1.48636,0.49723,0.23891,0.26666,0.12578,2.36397,2.55927,1.42602,0.008944,0.008944,0.008944
18,427.81,2.19094,1.84597,1.43916,0.51026,0.28806,0.27546,0.12746,2.29512,2.09723,1.37134,0.008878,0.008878,0.008878
19,449.293,2.21115,1.83049,1.44095,0.54898,0.30992,0.32512,0.15303,2.29103,2.18119,1.38001,0.008812,0.008812,0.008812
20,469.371,2.14838,1.79521,1.44472,0.49222,0.25554,0.26096,0.12305,2.3231,2.23868,1.38049,0.008746,0.008746,0.008746
21,490.264,2.13158,1.79462,1.41042,0.54325,0.31238,0.32381,0.14802,2.27817,2.36203,1.3748,0.00868,0.00868,0.00868
22,509.827,2.14719,1.79214,1.40566,0.5286,0.30737,0.32036,0.14455,2.35485,2.11357,1.38813,0.008614,0.008614,0.008614
23,529.344,2.12246,1.7314,1.39191,0.54018,0.31204,0.32931,0.16131,2.24459,2.08079,1.3396,0.008548,0.008548,0.008548
24,549.986,2.10651,1.78975,1.41563,0.55147,0.32717,0.32958,0.16191,2.20054,2.22309,1.33981,0.008482,0.008482,0.008482
25,570.256,2.11583,1.69692,1.39705,0.55904,0.3305,0.34627,0.16663,2.21726,1.94116,1.33113,0.008416,0.008416,0.008416
26,590.469,2.07766,1.73622,1.40201,0.54221,0.3331,0.34857,0.17087,2.23796,2.0059,1.34075,0.00835,0.00835,0.00835
27,610.378,2.08618,1.73026,1.39952,0.55407,0.34857,0.35609,0.1801,2.17299,2.05288,1.32345,0.008284,0.008284,0.008284
28,631.408,2.01263,1.59908,1.36688,0.56906,0.34189,0.35849,0.1746,2.19753,2.03231,1.31425,0.008218,0.008218,0.008218
29,651.538,2.02145,1.61872,1.35915,0.57075,0.33499,0.35489,0.1717,2.17057,1.89618,1.31109,0.008152,0.008152,0.008152
30,670.854,2.03567,1.61764,1.35317,0.59627,0.33614,0.3632,0.17843,2.17176,1.8516,1.31071,0.008086,0.008086,0.008086
31,690.037,2.01494,1.58633,1.3404,0.59351,0.36042,0.37048,0.18461,2.12259,1.84519,1.29218,0.00802,0.00802,0.00802
32,710.266,2.03989,1.60059,1.34896,0.62245,0.3627,0.39222,0.19888,2.1401,1.90655,1.31174,0.007954,0.007954,0.007954
33,730.161,2.01747,1.61931,1.34941,0.61473,0.35117,0.38025,0.19471,2.09309,1.91715,1.28007,0.007888,0.007888,0.007888
34,750.156,2.00392,1.56816,1.35672,0.62562,0.37187,0.39701,0.20232,2.13707,1.79,1.28878,0.007822,0.007822,0.007822
35,770.158,2.00145,1.56211,1.31401,0.57868,0.3464,0.36987,0.18392,2.14578,1.89325,1.30083,0.007756,0.007756,0.007756
36,790.135,1.96546,1.55649,1.34411,0.59007,0.36729,0.38439,0.19424,2.10051,1.82133,1.27871,0.00769,0.00769,0.00769
37,810.522,1.97535,1.49823,1.32611,0.63507,0.36915,0.4018,0.20296,2.1071,1.79338,1.27748,0.007624,0.007624,0.007624
38,830.031,1.9324,1.50348,1.32452,0.64298,0.36998,0.40368,0.21102,2.08875,1.84921,1.27676,0.007558,0.007558,0.007558
39,850.361,1.99832,1.55459,1.35088,0.6611,0.38094,0.41629,0.21223,2.09534,1.8008,1.29013,0.007492,0.007492,0.007492
40,871.512,1.9113,1.46158,1.30307,0.65163,0.37164,0.40717,0.21147,2.03951,1.73421,1.25645,0.007426,0.007426,0.007426
41,890.928,1.96766,1.50223,1.30275,0.58798,0.34918,0.37575,0.19319,2.06932,1.84264,1.27479,0.00736,0.00736,0.00736
42,911.226,1.96509,1.50181,1.30655,0.67074,0.38267,0.41647,0.21291,2.01399,1.75963,1.23964,0.007294,0.007294,0.007294
43,930.886,1.89704,1.42375,1.28815,0.66952,0.36684,0.41659,0.21479,2.05548,1.76992,1.26465,0.007228,0.007228,0.007228
44,951.201,1.90631,1.43327,1.28951,0.69254,0.40963,0.45,0.23455,2.01976,1.70765,1.23958,0.007162,0.007162,0.007162
45,971.744,1.91224,1.4842,1.28592,0.64689,0.39917,0.4307,0.21832,2.05071,1.69604,1.24714,0.007096,0.007096,0.007096
46,991.736,1.87055,1.39787,1.29131,0.69426,0.40118,0.45048,0.2354,2.03223,1.68483,1.24342,0.00703,0.00703,0.00703
47,1012.44,1.93465,1.4441,1.27637,0.68244,0.39396,0.43672,0.22459,2.01117,1.65623,1.24823,0.006964,0.006964,0.006964
48,1032.13,1.91074,1.46475,1.2868,0.6911,0.40762,0.45373,0.23685,1.99244,1.60302,1.23764,0.006898,0.006898,0.006898
49,1051.78,1.85986,1.38994,1.26494,0.67993,0.39567,0.43547,0.2277,2.01839,1.70484,1.24587,0.006832,0.006832,0.006832
50,1071.38,1.83951,1.35623,1.27521,0.6955,0.40246,0.44734,0.23255,2.03246,1.62254,1.24062,0.006766,0.006766,0.006766
51,1090.3,1.81133,1.3665,1.27712,0.71845,0.40069,0.45145,0.23919,1.99676,1.63673,1.23483,0.0067,0.0067,0.0067
52,1110.75,1.88323,1.38674,1.26125,0.70137,0.40148,0.45011,0.2306,2.02135,1.63764,1.2425,0.006634,0.006634,0.006634
53,1130.04,1.83519,1.38077,1.27544,0.72153,0.4251,0.47814,0.25126,1.95897,1.5728,1.22228,0.006568,0.006568,0.006568
54,1150.33,1.88082,1.39295,1.27102,0.67863,0.40721,0.45258,0.23499,1.9957,1.62425,1.22476,0.006502,0.006502,0.006502
55,1169.63,1.77864,1.33848,1.25126,0.72555,0.419,0.47129,0.25215,1.98045,1.63459,1.22558,0.006436,0.006436,0.006436
56,1189.7,1.84812,1.38023,1.26338,0.72445,0.41635,0.47871,0.25326,1.9562,1.58005,1.22288,0.00637,0.00637,0.00637
57,1210.61,1.80256,1.31181,1.26161,0.70021,0.41693,0.46389,0.24284,1.99486,1.5749,1.22561,0.006304,0.006304,0.006304
58,1231.43,1.85998,1.38248,1.25269,0.73093,0.4251,0.47329,0.25152,1.9501,1.61717,1.21089,0.006238,0.006238,0.006238
59,1250.85,1.83884,1.37468,1.26651,0.68814,0.42462,0.47148,0.25136,1.98406,1.61338,1.23027,0.006172,0.006172,0.006172
60,1270.61,1.81331,1.34233,1.24167,0.72657,0.42146,0.47547,0.25231,1.96611,1.54799,1.22113,0.006106,0.006106,0.006106
61,1290.22,1.85747,1.37645,1.25083,0.72347,0.41958,0.47612,0.25467,1.94991,1.52646,1.21135,0.00604,0.00604,0.00604
